id,person,noc,game
65546,47480,74,25
176187,126812,27,26
82552,59788,147,0
53026,38375,20,35
141970,102324,33,20
120797,87178,41,21
39744,28899,6,0
97794,70621,5,26
171817,123625,2,34
76405,55313,101,28
75810,54872,5,29
67832,49127,79,13
173811,125099,13,29
142301,102564,94,29
50127,36329,3,26
170957,122988,24,35
73354,53103,56,7
113472,81937,72,42
68176,49376,5,16
176586,127107,40,31
155583,112084,79,33
64633,46835,101,19
147761,106471,74,28
83018,60111,91,12
69077,50033,0,19
31880,23264,14,38
57791,41833,3,25
170999,123022,159,21
180625,130011,41,19
107461,77586,153,1
176676,127175,5,2
154998,111673,43,11
103596,74781,155,0
45598,33120,19,12
87566,63282,21,19
93101,67299,40,37
125051,90265,18,12
138964,100159,74,28
34874,25419,87,14
145925,105157,90,1
178,126,34,21
6673,4951,14,9
150546,108492,43,0
100690,72732,172,18
172805,124372,8,43
4356,3259,88,0
15444,11331,94,27
181090,130362,72,27
38665,28131,76,19
55774,40356,142,25
143725,103557,27,42
164054,118101,75,36
81107,58762,153,12
158577,114280,5,30
125132,90314,19,28
97528,70437,125,12
70670,51185,5,30
94469,68264,73,36
9694,7184,80,28
145862,105114,27,28
173153,124634,29,0
142729,102866,10,19
81548,59090,86,12
182346,131274,0,28
23932,17427,106,11
67629,48981,75,27
26728,19482,162,26
80983,58673,29,27
178412,128438,44,9
74334,53784,87,46
76785,55599,8,37
110860,79999,87,17
167769,120721,29,20
72646,52593,27,23
171379,123304,117,24
130774,94335,3,46
172019,123773,2,16
16367,11998,87,0
2288,1699,18,13
87931,63545,40,17
167174,120306,41,4
156744,112982,5,11
12264,9027,87,1
129649,93536,117,0
10111,7497,29,9
108185,78113,75,27
80587,58393,24,28
83192,60237,3,16
114572,82751,21,19
127265,91854,94,33
162913,117286,70,29
559,416,79,16
13840,10164,87,25
1872,1402,34,33
17077,12534,16,11
40912,29712,43,11
50585,36636,22,50
118089,85272,219,37
7586,5631,8,46
23646,17228,14,1
464,347,11,1
47903,34762,10,11
65621,47537,41,27
153278,110473,56,36
138337,99723,3,6
74577,53955,94,11
74171,53672,75,26
76455,55352,151,21
136737,98553,8,11
104213,75233,8,32
165934,119438,1,27
186620,134301,72,6
15161,11122,60,36
94902,68589,8,16
71474,51760,54,8
108013,77996,1,1
86977,62899,3,31
139423,100499,4,14
159640,115009,79,28
124708,90018,40,34
156263,112615,189,35
128932,93046,8,19
171616,123473,2,25
41396,30065,3,11
147047,105949,207,42
118478,85547,1,46
54685,39573,8,33
154028,110997,5,13
133412,96186,1,29
111966,80828,3,29
9853,7299,10,37
66202,47975,79,30
65797,47669,8,9
35993,26214,170,28
16874,12383,5,46
105680,76291,8,30
146124,105305,14,0
28420,20726,14,33
101051,72990,48,20
114197,82480,40,0
57631,41721,130,15
124323,89739,111,21
136040,98064,10,12
124695,90012,50,2
146773,105769,43,27
148590,107073,76,14
38100,27741,8,9
76398,55307,44,16
126891,91591,3,21
135743,97861,6,11
88906,64244,172,12
76718,55556,3,0
130695,94281,79,35
40756,29599,3,7
130400,94067,41,12
99266,71692,41,1
104450,75399,10,19
154653,111424,94,27
37112,27034,14,1
78328,56765,130,23
184649,132927,94,19
37206,27101,41,45
134725,97126,29,0
81962,59366,3,20
6495,4819,73,28
72989,52846,27,28
135211,97471,75,28
37850,27551,43,20
84973,61480,72,45
30707,22416,14,21
101853,73562,8,1
184953,133136,108,12
11903,8771,3,23
18373,13467,27,32
183773,132305,77,25
121622,87777,74,39
146186,105350,70,0
64506,46738,3,26
29277,21378,18,1
132562,95587,43,25
96371,69630,43,32
84616,61239,29,8
113973,82318,5,27
173456,124848,8,38
183515,132131,18,20
38975,28371,40,21
44357,32244,41,7
134925,97258,64,27
162175,116769,94,35
34271,24997,37,16
167832,120757,214,11
147309,106139,14,22
97881,70686,50,2
137961,99444,40,33
72368,52398,26,29
100163,72345,0,28
66488,48175,3,16
150089,108147,4,19
40725,29580,29,1
93288,67424,27,26
64681,46866,72,26
72132,52222,26,9
77122,55853,99,12
136524,98412,50,21
144780,104333,14,8
54267,39244,75,36
168740,121409,43,25
44717,32489,40,45
118787,85761,22,19
168097,120941,87,25
7282,5400,22,9
43203,31385,43,1
61797,44753,79,28
79620,57699,31,21
68406,49535,70,8
8963,6643,38,20
11939,8796,8,19
160130,115359,117,16
39133,28481,22,0
